arthropods 	 Asellus_aquaticus 	 genomic_data 	 qmAseAqua15 	 hic-arima2
arthropods 	 Asellus_aquaticus 	 genomic_data 	 qmAseAqua1 	 pacbio
arthropods 	 Atypus_affinis 	 genomic_data 	 qqAtyAffi1 	 hic-arima2
arthropods 	 Atypus_affinis 	 genomic_data 	 qqAtyAffi1 	 pacbio
arthropods 	 Cancer_pagurus 	 genomic_data 	 qmCanPagu1 	 10x
arthropods 	 Cancer_pagurus 	 genomic_data 	 qmCanPagu1 	 hic-arima2
arthropods 	 Cancer_pagurus 	 genomic_data 	 qmCanPagu1 	 pacbio
arthropods 	 Chelura_terebrans 	 genomic_data 	 qmCheTere1 	 pacbio
arthropods 	 Chelura_terebrans 	 genomic_data 	 qmCheTere2 	 pacbio
arthropods 	 Chelura_terebrans 	 genomic_data 	 qmCheTere3 	 hic-arima2
arthropods 	 Chthamalus_montagui 	 genomic_data 	 qxChtMont1 	 10x
arthropods 	 Chthamalus_stellatus 	 genomic_data 	 qxChtStel6 	 10x
arthropods 	 Clibanarius_erythropus 	 genomic_data 	 qmCliEryt3 	 hic-arima2
arthropods 	 Clistosaccus_paguri 	 genomic_data 	 qxCliPagu1 	 10x
arthropods 	 Clistosaccus_paguri 	 genomic_data 	 qxCliPagu1 	 pacbio
arthropods 	 Clistosaccus_paguri 	 genomic_data 	 qxCliPagu2 	 hic-arima2
arthropods 	 Clubiona_reclusa 	 genomic_data 	 qqCluRecl1 	 10x
arthropods 	 Clubiona_reclusa 	 genomic_data 	 qqCluRecl1 	 hic-arima2
arthropods 	 Clubiona_reclusa 	 genomic_data 	 qqCluRecl1 	 pacbio
arthropods 	 Clubiona_terrestris 	 genomic_data 	 qqCluTerr1 	 10x
arthropods 	 Clubiona_terrestris 	 genomic_data 	 qqCluTerr1 	 pacbio
arthropods 	 Corophium_volutator 	 genomic_data 	 qmCorVolu1 	 hic-arima2
arthropods 	 Crangonyx_pseudogracilis 	 genomic_data 	 qmCraPseu2 	 10x
arthropods 	 Crangonyx_pseudogracilis 	 genomic_data 	 qmCraPseu2 	 pacbio
arthropods 	 Crangonyx_pseudogracilis 	 genomic_data 	 qmCraPseu4 	 pacbio
arthropods 	 Cylindroiulus_britannicus 	 genomic_data 	 qdCylBrit2 	 hic-arima2
arthropods 	 Cylindroiulus_punctatus 	 genomic_data 	 qdCylPunc1 	 hic-arima2
