taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value
302032	species	Aporrectodea caliginosa	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.64990234375
8407	species	Rana temporaria	Ranidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	4.48828125
35632	species	Lumbricus rubellus	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.429931640625
585852	species	Ulva laetevirens	Ulvaceae	Ulvales	Ulvophyceae	Chlorophyta	Viridiplantae	Eukaryota	0.300048828125
302032	species	Aporrectodea caliginosa	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.64990234375
126592	species	Hediste diversicolor	Nereididae	Phyllodocida	Polychaeta	Annelida	Metazoa	Eukaryota	1.51953125
302032	species	Aporrectodea caliginosa	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.64990234375
46595	species	Harmothoe impar	Polynoidae	Phyllodocida	Polychaeta	Annelida	Metazoa	Eukaryota	2.33984375
60927	species	Glossiphonia complanata	Glossiphoniidae	Rhynchobdellida	Clitellata	Annelida	Metazoa	Eukaryota	0.52001953125
35632	species	Lumbricus rubellus	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.429931640625
6396	species	Eisenia fetida	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.7001953125
6396	species	Eisenia fetida	Lumbricidae	Crassiclitellata	Clitellata	Annelida	Metazoa	Eukaryota	0.7001953125
8384	species	Bufo bufo	Bufonidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	6.6015625
104710	species	Glycera tridactyla	Glyceridae	Phyllodocida	Polychaeta	Annelida	Metazoa	Eukaryota	2.4140625
8407	species	Rana temporaria	Ranidae	Anura	Amphibia	Chordata	Metazoa	Eukaryota	4.48828125
taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value
283210	species	Malus pumila	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.77001953125
3750	species	Malus domestica	Rosaceae	Rosales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	0.7568359375
153317	species	Lepidium draba	Brassicaceae	Brassicales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.1103515625
253017	species	Impatiens glandulifera	Balsaminaceae	Ericales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.01953125
13597	species	Ligustrum vulgare	Oleaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.7099609375
34270	species	Syringa vulgaris	Oleaceae	Lamiales	Magnoliopsida	Streptophyta	Viridiplantae	Eukaryota	1.205078125
