taxon_id	taxon_rank	scientific_name	family	order	class	phylum	kingdom	superkingdom	c_value	tol_clade	scientific_name_underscore	data_type
988002	species	Notodonta ziczac	Notodontidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.360107421875	insects	Notodonta_ziczac	released
171594	species	Nymphalis polychloros	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.449951171875	insects	Nymphalis_polychloros	released
111881	species	Nymphalis urticae	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.449951171875	insects	Nymphalis_urticae	released
2495127	species	Nysson spinosus	Crabronidae	Hymenoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.47998046875	insects	Nysson_spinosus	released
876063	species	Ochlodes sylvanus	Hesperiidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.5224609375	insects	Ochlodes_sylvanus	released
320037	species	Ochropleura plecta	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.6748046875	insects	Ochropleura_plecta	released
662956	species	Ocypus olens	Staphylinidae	Coleoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.81982421875	insects	Ocypus_olens	released
2492375	species	Omphaloscelis lunosa	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.65234375	insects	Omphaloscelis_lunosa	released
335469	species	Orgyia antiqua	Erebidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	1.0302734375	insects	Orgyia_antiqua	released
1101027	species	Pammene fasciana	Tortricidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.59130859375	insects	Pammene_fasciana	released
1594321	species	Parapoynx stratiotata	Crambidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.615234375	insects	Parapoynx_stratiotata	released
116150	species	Pararge aegeria	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.489990234375	insects	Pararge_aegeria	released
190356	species	Peribatodes rhomboidaria	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.83203125	insects	Peribatodes_rhomboidaria	released
753216	species	Phalera bucephala	Notodontidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.35009765625	insects	Phalera_bucephala	released
988018	species	Pheosia gnoma	Notodontidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.360107421875	insects	Pheosia_gnoma	released
988019	species	Pheosia tremula	Notodontidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.360107421875	insects	Pheosia_tremula	released
934888	species	Philereme vetulata	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.64599609375	insects	Philereme_vetulata	released
875884	species	Phlogophora meticulosa	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.60009765625	insects	Phlogophora_meticulosa	released
7116	species	Pieris brassicae	Pieridae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.312744140625	insects	Pieris_brassicae	released
78633	species	Pieris napi	Pieridae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.312744140625	insects	Pieris_napi	released
414846	species	Platycheirus albimanus	Syrphidae	Diptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.5400390625	insects	Platycheirus_albimanus	released
242267	species	Plebejus argus	Lycaenidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.22998046875	insects	Plebejus_argus	released
767470	species	Pterostichus madidus	Carabidae	Coleoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.65478515625	insects	Pterostichus_madidus	released
987449	species	Ptilodon capucinus	Notodontidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.35009765625	insects	Ptilodon_capucinus	released
218760	species	Pyrgus malvae	Hesperiidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.5224609375	insects	Pyrgus_malvae	released
346838	species	Pyrochroa serraticornis	Pyrochroidae	Coleoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.422119140625	insects	Pyrochroa_serraticornis	released
41101	species	Rhagonycha fulva	Cantharidae	Coleoptera	Insecta	Arthropoda	Metazoa	Eukaryota	1.080078125	insects	Rhagonycha_fulva	released
219539	species	Scaeva pyrastri	Syrphidae	Diptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.5400390625	insects	Scaeva_pyrastri	released
411963	species	Schrankia costaestrigalis	Erebidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	1.1064453125	insects	Schrankia_costaestrigalis	released
115100	species	Seladonia tumulorum	Halictidae	Hymenoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.56640625	insects	Seladonia_tumulorum	released
934894	species	Selenia dentaria	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.83203125	insects	Selenia_dentaria	released
748215	species	Sesia apiformis	Sesiidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.59130859375	insects	Sesia_apiformis	released
1190790	species	Sphecodes monilicornis	Halictidae	Hymenoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.73291015625	insects	Sphecodes_monilicornis	released
875881	species	Spilarctia lutea	Erebidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.64990234375	insects	Spilarctia_lutea	released
875880	species	Spilosoma lubricipeda	Erebidae	Lepidoptera	Insecta	Arthropoda	Metazoa	Eukaryota	0.64013671875	insects	Spilosoma_lubricipeda	released
